Data de entrada	Nota de entrada	Série	Fornecedor	Item	Descrição do item	Qtde	Valor unitário	Valor total	Valor ICMS	Valor PIS	Valor COFINS	Custo da MO	Preço de custo	Custo de MP	Nota fiscal de devolução (Número)
12/01/2026	94166	100	2755	200449	CADEIRA ALOHA ACTIVE (SECMTM7)	87,0000	5155,1900	448501,53	55569,34	6483,38	29862,85	0,0000	0,000000	0,0000	94008
13/02/2026	94476	100	4204	501926.0001	BANCO BOJON WA ESPECIAL CORTEIN MAD NOB IN UV GLAS	3,0000	2016,5460	6049,64	749,55	82,30	379,07	250,1540	0,000000	304,6257	94358
23/02/2026	94556	100	4218	600102.0018	BANCO LENA WC - 1800 LL 4005 FM MAD REFL CASTA DECK LISO	38,0000	3471,8600	131930,68	16346,21	1907,14	8784,42	147,4199	0,000000	457,4516	94511
23/02/2026	94556	100	4218	600102.0019	BANCO LENA WC - 1800 VD 6027 FM MAD REFL CASTA DECK LISO	23,0000	3471,8600	79852,78	9893,76	1154,32	5316,89	147,4199	0,000000	457,4516	94511
23/02/2026	94556	100	4218	600101.0036	BANCO LENA S - CURVO 45 GRAUS LL 4005 FM LL 4005 FM	4,0000	4008,0400	16032,16	1986,39	231,76	1067,48	243,2738	0,000000	407,7859	94511
23/02/2026	94556	100	4218	600101.0037	BANCO LENA S - CURVO 45 GRAUS VD 6027 FM VD 6027 FM	4,0000	4008,0400	16032,16	1986,39	231,76	1067,48	243,2738	0,000000	407,7859	94511
23/02/2026	94556	100	4218	600034.0038	BANCO LENA WB D - 1800 LL R4005 FOSC MICR MAD REFL CASTA DECK	4,0000	2567,2100	10268,84	1272,31	148,44	683,74	107,7201	0,000000	349,5055	94511
23/02/2026	94556	100	4218	600034.0039	BANCO LENA WB D - 1800 VD R6027 FOSC MICR MAD REFL CASTA DECK	2,0000	2567,2100	5134,42	636,15	74,22	341,87	107,7201	0,000000	349,5055	94511
23/02/2026	94556	100	4218	600030.0015	MESA CAMILLA - WE 1860 VD R6027 FOSC MICR MAD REFL CASTA DECK	36,0000	3384,8626	121855,05	15353,74	1602,80	7382,59	246,4124	0,000000	427,8126	94511
11/03/2026	94703	100	4218	600102.0018	BANCO LENA WC - 1800 LL 4005 FM MAD REFL CASTA DECK LISO	38,0000	3471,8644	131930,85	16346,23	1907,15	8784,43	147,4199	0,000000	457,4516	94621
11/03/2026	94703	100	4218	600102.0019	BANCO LENA WC - 1800 VD 6027 FM MAD REFL CASTA DECK LISO	23,0000	3471,8644	79852,88	9893,77	1154,33	5316,89	147,4199	0,000000	457,4516	94621
11/03/2026	94703	100	4218	600101.0036	BANCO LENA S - CURVO 45 GRAUS LL 4005 FM LL 4005 FM	4,0000	4008,0484	16032,19	1986,39	231,76	1067,48	243,2738	0,000000	407,7859	94621
11/03/2026	94703	100	4218	600101.0037	BANCO LENA S - CURVO 45 GRAUS VD 6027 FM VD 6027 FM	4,0000	4008,0484	16032,19	1986,39	231,76	1067,48	243,2738	0,000000	407,7859	94621
11/03/2026	94703	100	4218	600034.0038	BANCO LENA WB D - 1800 LL R4005 FOSC MICR MAD REFL CASTA DECK	4,0000	2567,2154	10268,86	1272,31	148,44	683,74	107,7201	0,000000	349,5055	94621
11/03/2026	94703	100	4218	600034.0039	BANCO LENA WB D - 1800 VD R6027 FOSC MICR MAD REFL CASTA DECK	2,0000	2567,2154	5134,43	636,16	74,22	341,87	107,7201	0,000000	349,5055	94621
11/03/2026	94703	100	4218	600030.0015	MESA CAMILLA - WE 1860 VD R6027 FOSC MICR MAD REFL CASTA DECK	36,0000	3442,2276	123920,19	15353,71	1791,35	8251,05	246,4124	0,000000	427,8126	94621
12/03/2026	36637	1	2505	908517	TARUGO DE ALUMINIO 6063 5 POLEGADAS	24929,0000	21,9100	546194,39	65544,04	7930,73	36529,43	0,0000	17,497299	0,0000	94723
12/03/2026	94722	100	4230	909849	PARAF ACO 8.8 MQ SXT RT DIN 933 M6X1,0X70 ZB	32,0000	0,5000	16,00	2,04	0,22	1,00	0,0000	0,329142	0,0000	94667
12/03/2026	94722	100	4230	903747	ARRUELA INOX LISA M6X1,6X12 (901735)	64,0000	0,1000	6,40	0,82	0,09	0,40	0,0000	0,080000	0,0000	94667
12/03/2026	94722	100	4230	907035	PORCA AUTOFRENO M6 INOX	32,0000	0,2000	6,40	0,82	0,09	0,40	0,0000	0,203000	0,0000	94667
12/03/2026	94722	100	4230	903780	PARAFUSO INOX ABL FC 4,2 X 20 (902102)	120,0000	0,7500	90,00	11,50	1,22	5,60	0,0000	0,135703	0,0000	94667
12/03/2026	94722	100	4230	909215	PARABOLT INOX PBA UNC 3/8" X 5" NT	120,0000	4,0000	480,00	61,34	6,49	29,88	0,0000	6,388750	0,0000	94667
