Emissão	Nota	Cliente	Razão social	Item	Descrição	Valor unitário	Qtde. faturada	Valor total	Valor do frete	Despesas Acessórias	Desconto	ICMS	COFINS	PIS	Valor do ISSQN	Grupo de itens	Subgrupo de itens	Família de itens	Linha de itens - Descrição (Linha)	Custo MO	Preço de custo	Terceirizacao	Custo MP	Estado	Comissão	ICMS UF Destino	Data de emissão pedido	Grupo de clientes	Família de clientes	Cliente - Data de cadastro	Representante - Razão social (Representante)	Nota (Série)
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100278.0001	ESCADA HORIZONTAL JOY INOX- J402 (600490)	26711,4100	2,0000	53422,82	0,00	0,00	0,00	3926,58	3068,95	666,29	0,00	PRODUTOS DE ACO	ESPECIAIS	JOY	MOBILIARIO URBANO	0,0000	0,000000	0,0000	10679,8350	DISTRITO FEDERAL	0,00	9115,27	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	500382.0003	GIRA GIRA MODELO 02 (ORBITARIO) PR 9005 FM	8624,4100	5,0000	43122,05	0,00	0,00	0,00	3169,47	2477,21	537,82	0,00	PRODUTOS DE ACO	BRINQUEDO	TEMPO	MOBILIARIO URBANO	0,0000	0,000000	0,0000	7852,5980	DISTRITO FEDERAL	0,00	7357,70	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100273.0003	SOMBREAMENTO PETALS PR R9005 FOSC MICR	28036,5800	2,0000	56073,16	0,00	0,00	0,00	4121,38	3221,21	699,34	0,00	PRODUTOS DE ACO	SOMBREAMENTO	PETALS	MOBILIARIO URBANO	0,0000	0,000000	0,0000	11769,8750	DISTRITO FEDERAL	0,00	9567,48	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100283.0003	CAVALINHO JOY INOX- J202 (600486) VD R6018 FOSC MICR PEAD VD	3869,2200	4,0000	15476,88	0,00	0,00	0,00	1137,55	889,09	193,03	0,00	PRODUTOS DE ACO	ESPECIAIS	JOY	MOBILIARIO URBANO	0,0000	0,000000	0,0000	2310,6400	DISTRITO FEDERAL	0,00	2640,74	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100283.0004	CAVALINHO JOY INOX- J202 (600486) LA R2004 FOSC MICR PEAD LJ	3869,2200	3,0000	11607,66	0,00	0,00	0,00	853,16	666,82	144,77	0,00	PRODUTOS DE ACO	ESPECIAIS	JOY	MOBILIARIO URBANO	0,0000	0,000000	0,0000	3081,2075	DISTRITO FEDERAL	0,00	1980,56	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100283.0005	CAVALINHO JOY INOX- J202 (600486) AZ R5010 FOSC MICR PEAD AZ	3869,2200	3,0000	11607,66	0,00	0,00	0,00	853,16	666,82	144,77	0,00	PRODUTOS DE ACO	ESPECIAIS	JOY	MOBILIARIO URBANO	0,0000	0,000000	0,0000	2310,6366	DISTRITO FEDERAL	0,00	1980,56	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100275.0003	GANGORRA JOY INOX- J206 VD R6018 FOSC MICR PEAD VD	9092,6600	2,0000	18185,32	0,00	0,00	0,00	1336,62	1044,68	226,81	0,00	PRODUTOS DE ACO	ESPECIAIS	JOY	MOBILIARIO URBANO	0,0000	0,000000	0,0000	6104,6850	DISTRITO FEDERAL	0,00	3102,87	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
07/01/2026	7346	1578	CONSORCIO SGCV-SMAS	100275.0004	GANGORRA JOY INOX- J206 AZ R5010 FOSC MICR PEAD AZ	9092,6270	2,0000	18185,25	0,00	0,00	0,00	1336,62	1044,68	226,81	0,00	PRODUTOS DE ACO	ESPECIAIS	JOY	MOBILIARIO URBANO	0,0000	0,000000	0,0000	6104,6750	DISTRITO FEDERAL	0,00	3102,86	09/09/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	09/09/2025	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	1
08/01/2026	7349	1640	CASA DE NOSSA SENHORA DA PAZ ACAO SOCIAL FRANCISCANA	100010.0011	BICICLETARIO SPYRA 6 VM R3000 FOSC MICR	3773,8680	1,0000	3773,87	0,00	0,00	0,00	475,51	228,64	49,64	0,00	PRODUTOS DE ACO	BICICLETARIO	SPYRA	MOBILIARIO URBANO	0,0000	0,000000	0,0000	942,7100	SAO PAULO	1426,52	289,94	26/11/2025	CONSUMIDOR FINAL	ESCOLAS/UNIVERSIDADES	26/11/2025	PAULO FERNANDES SOLUCOES INTEGRADAS PARA ESCRITORIOS LTDA	1
08/01/2026	7350	1595	ECCO PARK EMPREENDIMENTOS IMOBILIARIOS LTDA	300010.0023	BANCO SARAH CT CZ VERNIZ	1894,5280	6,0000	11367,17	0,00	0,00	0,00	1364,06	717,04	155,67	0,00	PRODUTOS DE CONCRETO	BANCO	SARAH	MOBILIARIO URBANO	162,2100	0,000000	0,0000	408,4009	SANTA CATARINA	56,83	568,36	27/11/2025	CONSUMIDOR FINAL	CONSTRUTORAS/INCORPORADORAS	01/10/2025	VENDEDOR INTERNO - 3	1
