Data de emissão	Nota	Cliente	Razão Social	Item	Descrição	Valor unitário	Qtde. faturada	Valor total	Valor do frete	Despesas acessórias	Desconto	ICMS	COFINS	PIS	Valor do ISSQN	Grupo de itens	Subgrupo de itens	Família	Linha	Custo MO	Custo Revenda	Terceirizacao	Custo MP	Estado	Comissão	ICMS UF DEST	Data do Pedido	Grupo de clientes	Família de clientes	Data de cad. clie.	Representante - Razão social (Representante)
08/01/2026	94149	1222	IRB-BRASIL RESSEGUROS S.A.	200287.0554	CADEIRA ONLY MEDIA GIR CP CZ 1271 RELAX SLIM PP JD700 NY NY D50MM	643,0270	12,0000	7716,32	0,00	0,00	0,00	956,05	436,15	94,69	0,00	MOBILIARIO CORPORATIVO	CADEIRA	ONLY	CORPORATIVO	58,9340	0,000000	15,5000	223,4569	RIO DE JANEIRO	0,00	841,65	19/11/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	30/03/2015	MAIA MOVEIS DE ESCRITORIOS LTDA
08/01/2026	94149	1222	IRB-BRASIL RESSEGUROS S.A.	200287.0553	CADEIRA ONLY MEDIA GIR CP CZ 1271 RELAX SLIM PP JD700 NY NY D50MM	661,1660	2,0000	1322,33	0,00	0,00	0,00	163,84	74,74	16,23	0,00	MOBILIARIO CORPORATIVO	CADEIRA	ONLY	CORPORATIVO	60,9290	0,000000	15,5000	228,7539	RIO DE JANEIRO	0,00	144,23	19/11/2025	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	30/03/2015	MAIA MOVEIS DE ESCRITORIOS LTDA
08/01/2026	94146	5734	METALCO DO BRASIL LTDA	600180.0001	BICICLETARIO SPYRA 3 (100023) VM R3000 FOSC MICR	582,1700	1,0000	582,17	0,00	0,00	0,00	69,86	38,94	8,45	0,00	MOBILIARIO URBANO	BICICLETARIO	METALCO	MOBILIARIO URBANO	63,3910	0,000000	41,0000	173,9049	RIO GRANDE DO SUL	0,00	0,00	13/11/2025	PRIVATE LABEL	OUTRAS INDUSTRIAS	31/03/2014	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA
08/01/2026	94147	5734	METALCO DO BRASIL LTDA	600168.0001	BICICLETARIO SPYRA 6 (100010) VM R3000 FOSC MICR	1071,2600	1,0000	1071,26	0,00	0,00	0,00	128,55	71,65	15,55	0,00	MOBILIARIO URBANO	BICICLETARIO	METALCO	MOBILIARIO URBANO	109,4106	0,000000	120,0000	282,6306	RIO GRANDE DO SUL	0,00	0,00	08/12/2025	PRIVATE LABEL	OUTRAS INDUSTRIAS	31/03/2014	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA
08/01/2026	94146	5734	METALCO DO BRASIL LTDA	600216.0010	LIXEIRA BOX WOOD 50 L (100189) GR 7016 FM MAD REFL CASTA DECK	1318,8300	2,0000	2637,66	0,00	0,00	0,00	316,52	176,41	38,30	0,00	MOBILIARIO URBANO	LIXEIRA	METALCO	MOBILIARIO URBANO	195,3868	0,000000	187,7530	260,3219	RIO GRANDE DO SUL	0,00	0,00	13/11/2025	PRIVATE LABEL	OUTRAS INDUSTRIAS	31/03/2014	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA
08/01/2026	94145	5734	METALCO DO BRASIL LTDA	600216.0010	LIXEIRA BOX WOOD 50 L (100189) GR 7016 FM MAD REFL CASTA DECK	1318,8300	1,0000	1318,83	0,00	0,00	0,00	158,26	88,20	19,15	0,00	MOBILIARIO URBANO	LIXEIRA	METALCO	MOBILIARIO URBANO	195,3868	0,000000	187,7530	260,3219	RIO GRANDE DO SUL	0,00	0,00	13/11/2025	PRIVATE LABEL	OUTRAS INDUSTRIAS	31/03/2014	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA
08/01/2026	79	4706	ORLA RIO CONCESSIONARIA LTDA.	ADM-0121	PRESTACAO DE SERVICO DE MONTAGEM -ISSQN	94000,0000	1,0000	94000,00	0,00	0,00	0,00	0,00	7144,00	1551,00	2820,00	SERVICO	SERVICO	SERVICO	SERVICO	0,0000	0,000000	0,0000	0,0000	RIO DE JANEIRO	0,00	0	06/01/2026	CONSUMIDOR FINAL	OUTROS CONSUM. FINAIS PESSOA J	10/05/2021	VENDEDOR INTERNO - 1
08/01/2026	94144	1173	A ZILIOTTO COMERCIO DE MOVEIS PARA ESCRITORIO LTDA	400629.0012	ENCOSTO WIRE WORKS C/ TELA E AP LOMBAR MALHA GROS TL PRETA C/AP LOM PR	229,5884	1,0000	229,59	0,00	0,00	0,00	27,55	15,36	3,33	0,00	OUTROS	OUTROS	WIRE WORKS	OUTROS	33,6547	0,000000	8,6624	52,9285	SANTA CATARINA	1,14	0,00	04/12/2025	PRIVATE LABEL	INDUSTRIA DE MÓVEIS CORPORATIV	16/02/2015	VENDEDOR INTERNO - 3
08/01/2026	94144	1173	A ZILIOTTO COMERCIO DE MOVEIS PARA ESCRITORIO LTDA	401113	APOIA BRACO REGULAVEL DIREITO SLIM PP	49,4564	2,0000	98,91	0,00	0,00	0,00	11,87	6,62	1,44	0,00	OUTROS	OUTROS	OUTROS	OUTROS	0,0000	0,000000	0,0000	15,9720	SANTA CATARINA	0,49	0,00	04/12/2025	PRIVATE LABEL	INDUSTRIA DE MÓVEIS CORPORATIV	16/02/2015	VENDEDOR INTERNO - 3
08/01/2026	94144	1173	A ZILIOTTO COMERCIO DE MOVEIS PARA ESCRITORIO LTDA	401114	APOIA BRACO REGULAVEL ESQUERDO SLIM PP	49,4564	2,0000	98,91	0,00	0,00	0,00	11,87	6,62	1,44	0,00	OUTROS	OUTROS	OUTROS	OUTROS	0,0000	0,000000	0,0000	15,9720	SANTA CATARINA	0,49	0,00	04/12/2025	PRIVATE LABEL	INDUSTRIA DE MÓVEIS CORPORATIV	16/02/2015	VENDEDOR INTERNO - 3
