Data de emissão	Pedido	Razão social (Nome) - Cliente (Pedido)	Item	Descrição do item	Subgrupo (Código) - Item	Descrição - Família de itens (Item)	Qtde. solicitada	Qtde. cancelada	Qtde. faturada	Valor unitário	Data de previsão de faturamento - Pedido	Impostos dos itens dos pedidos - Valor ICMS destinatário	Valor do ICMS - Impostos dos itens dos pedidos	Valor do PIS - Impostos dos itens dos pedidos	Valor de COFINS - Impostos dos itens dos pedidos	Preço de custo - Item	Custo de matéria-prima - Item	Gastos gerais de fabricação	Custo da mão de obra - Item	Estado (Sigla) - Cliente (Pedido)	Representante - Razão social (Representante)	Cliente - Data de cadastro	Família de clientes
06/01/2026	4450	V. FAIR TRADE COMERCIO E EXPORTACAO DE CALCADOS E ACESSORIOS LTDA	100028.0012	BANCO LIBRE SETOR CONCAVO GR R7016 FOSC MICR PE ARC GR R7016 FOSC MICR	101	LIBRE	2,0000	0,0000	2,0000	13600,6970	26/02/2026	0,00	3370,25	393,21	1811,17	0,000000	2679,5400	0,0000	0,0000	SP	METALCO DO BRASIL LTDA	06/01/2026	OUTRAS INDUSTRIAS
06/01/2026	4450	V. FAIR TRADE COMERCIO E EXPORTACAO DE CALCADOS E ACESSORIOS LTDA	100028.0013	BANCO LIBRE SETOR CONVEXO GR R7016 FOSC MICR PE ARC GR R7016 FOSC MICR	101	LIBRE	2,0000	0,0000	2,0000	13600,6970	26/02/2026	0,00	3370,25	393,21	1811,17	0,000000	4257,8650	0,0000	0,0000	SP	METALCO DO BRASIL LTDA	06/01/2026	OUTRAS INDUSTRIAS
08/01/2026	4459	ARCOS DOURADOS COMERCIO DE ALIMENTOS SA	100189.0018	LIXEIRA BOX WOOD 50 L GR R7016 FOSC MICR MAD REFL CASTA DECK	102	BOX	1,0000	0,0000	1,0000	1648,0000	30/01/2026	0,00	121,13	25,19	116,04	0,000000	1133,7500	0,0000	0,0000	MA	METALCO DO BRASIL LTDA	14/08/2023	REDES NACIONAIS
08/01/2026	4458	SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE DO DISTRITO FEDERAL	ADM-0043	PRESTACAO DE SERVICO DE MONTAGEM	10	SERVICO	1,0000	0,0000	0,0000	570840,0000	30/04/2026	0,00	0,00	9418,86	43383,84	0,000000	0,0000	0,0000	0,0000	DF	J. FLEURY REPRESENTACAO DE MOVEIS CORPORATIVOS LTDA	13/05/2025	ORGAO PUBLICO ESTADUAL
08/01/2026	4452	FRANCA PINTO EMPREENDIMENTOS IMOBILIARIOS LTDA	500482.0001	BEBEDOURO FUENTE PT S/TIGELA GR R7016 FOSC MICR C/FILTRO	109	FUENTE	2,0000	0,0000	2,0000	4557,0823	18/02/2026	700,23	1148,38	119,88	552,18	0,000000	1158,0300	0,0000	0,0000	SP	METALCO DO BRASIL LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4452	FRANCA PINTO EMPREENDIMENTOS IMOBILIARIOS LTDA	100230.0013	LIXEIRA BOX IRON 100 L GRAFITE R7016 PORTA GRAFITE R7016	102	BOX	2,0000	0,0000	2,0000	3350,8877	18/02/2026	514,89	844,42	88,15	406,03	0,000000	992,5650	0,0000	0,0000	SP	METALCO DO BRASIL LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4454	MB3 ENGENHARIA LTDA	100010.0026	BICICLETARIO SPYRA 6 PT R9006 FOSC MICR	103	SPYRA	1,0000	0,0000	1,0000	2312,0082	28/01/2026	0,00	291,31	33,34	153,57	0,000000	583,5800	0,0000	0,0000	SP	METALCO DO BRASIL LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4456	ARCOS DOURADOS COMERCIO DE ALIMENTOS SA	100189.0018	LIXEIRA BOX WOOD 50 L GR R7016 FOSC MICR MAD REFL CASTA DECK	102	BOX	1,0000	0,0000	1,0000	1648,0000	30/01/2026	0,00	121,13	25,19	116,04	0,000000	1133,7500	0,0000	0,0000	MA	METALCO DO BRASIL LTDA	08/01/2026	REDES NACIONAIS
08/01/2026	4461	SPE THS EMPREENDIMENTO IMOBILIARIO LTDA	300150.0001	BANCO DOLOMITI B - 1800MM CT CZ VERNIZ MAD REFL CASTA DECK	301	DOLOMITI	11,0000	0,0000	0,0000	2053,3527	30/04/2026	0,00	3839,77	309,33	1424,78	0,000000	1102,7581	0,0000	160,0500	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4461	SPE THS EMPREENDIMENTO IMOBILIARIO LTDA	300017.0004	FLOREIRA CRISTINA A 1500 X 560 CT CZ VERNIZ	302	CRISTINA	3,0000	0,0000	3,0000	3621,1622	30/04/2026	0,00	1846,79	148,78	685,27	0,000000	464,4589	0,0000	271,0125	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4461	SPE THS EMPREENDIMENTO IMOBILIARIO LTDA	300013.0004	FLOREIRA CLASSICA 570 CT CZ VERNIZ	302	CLASSICA	9,0000	0,0000	9,0000	1334,7972	30/04/2026	0,00	2042,24	164,52	757,79	0,000000	69,9341	0,0000	221,2550	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4461	SPE THS EMPREENDIMENTO IMOBILIARIO LTDA	300125.0003	BANCO STONE M CT CZ VERNIZ	301	STONE	1,0000	0,0000	1,0000	4631,5866	30/04/2026	0,00	787,37	63,43	292,16	0,000000	869,8750	0,0000	233,7400	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
08/01/2026	4461	SPE THS EMPREENDIMENTO IMOBILIARIO LTDA	300124.0003	BANCO STONE P CT CZ VERNIZ	301	STONE	3,0000	0,0000	3,0000	3992,0159	30/04/2026	0,00	2035,93	164,01	755,45	0,000000	496,1992	0,0000	193,7300	RS	HUBB SERVICOS DE INSTALACOES E MONTAGENS LTDA	08/01/2026	CONSTRUTORAS/INCORPORADORAS
