Data de emissão	Pedido	Razão social (Nome) - Cliente (Pedido)	Item	Descrição do item	Subgrupo (Código) - Item	Descrição - Família de itens (Item)	Qtde. solicitada	Qtde. cancelada	Qtde. faturada	Valor unitário	Data de previsão de faturamento - Pedido	Impostos dos itens dos pedidos - Valor ICMS destinatário	Valor do ICMS - Impostos dos itens dos pedidos	Valor do PIS - Impostos dos itens dos pedidos	Valor de COFINS - Impostos dos itens dos pedidos	Preço de custo - Item	Custo de matéria-prima - Item	Item - Gastos gerais de fabricação	Custo da mão de obra - Item	Cliente - Estado (Sigla)	Representante - Razão social (Representante)	Cliente - Data de cadastro	Família de clientes
02/01/2026	66367	ALMA ATIVIDADES EM ASSESSORIA E REPRESENTACAO COMERCIAL EIRELI	600520.0001	BANCO NOALE 1210 WA GR 7016 FM MAD REFL CASTA DECK	21	NOALE	2,0000	0,0000	2,0000	804,8480	02/07/2026	0,00	332,76	25,79	118,79	0,000000	190,2002	88,0418	103,5560	RS	ALMA ATIVIDADES EM ASSESSORIA E REPRESENTACAO COMERCIAL EIRELI	29/08/2019	REPRESENTANTE COMERCIAL
05/01/2026	66368	LEGNA REPRESENTACAO COMERCIAL LTDA	600009.0028	BANCO BOJON WB BG 1013 FM MAD REFL CASTA DECK	21	BOJON	1,0000	0,0000	1,0000	1817,4856	19/02/2026	0,00	127,22	27,89	128,46	0,000000	351,3889	130,0755	312,2406	PE	LEGNA REPRESENTACAO COMERCIAL LTDA	15/04/2021	DISTRIBUIDOR AUTORIZADO BLACK
05/01/2026	66368	LEGNA REPRESENTACAO COMERCIAL LTDA	600034.0035	BANCO LENA WB D - 1800 BG R1013 FOSC MICR MAD REFL CASTA DECK	21	LENA	1,0000	0,0000	1,0000	1404,9935	19/02/2026	0,00	98,35	21,56	99,30	0,000000	349,5055	150,0515	107,7201	PE	LEGNA REPRESENTACAO COMERCIAL LTDA	15/04/2021	DISTRIBUIDOR AUTORIZADO BLACK
06/01/2026	66370	FUNDACAO COORDENACAO DE PROJETOS,PESQUISAS E ESTUDOS TECNOLOGICOS COPP	600460.0010	ESPRIT WA PR 9005 FM MAD REFL CASTA DECK	21	ESPRIT	9,0000	0,0000	9,0000	10076,8775	19/02/2026	10059,83	11427,18	1106,43	5096,27	0,000000	690,1189	730,4797	487,5433	RJ	SISTEMAS RJB REPRESENTACOES LTDA	06/01/2026	ORGAO PUBLICO FEDERAL
06/01/2026	66378	METALCO DO BRASIL LTDA	600232.0008	BANCO IDEA L 2M S/ENCOSTO (200014) GR 7016 FM MAD REFL CASTA DECK	21	METALCO	20,0000	0,0000	20,0000	3943,9000	20/02/2026	0,00	9465,46	1145,31	5275,35	0,000000	937,4112	537,0102	172,2014	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
06/01/2026	66378	METALCO DO BRASIL LTDA	600214.0002	LIXEIRA SPENCER RETANGULAR (100158) BG 1013 FM	25	METALCO	45,0000	0,0000	45,0000	781,8900	20/02/2026	0,00	4222,25	510,89	2353,17	0,000000	176,4589	90,3662	127,0581	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
06/01/2026	66377	METALCO DO BRASIL LTDA	600175.0005	LIXEIRA BRAVO COLONIAL SIMPLES (100018) CZ 9007 FM MAD REFL CASTA DECK	25	METALCO	2,0000	0,0000	2,0000	822,4500	30/01/2026	0,00	197,39	23,88	110,01	0,000000	132,0946	128,4347	136,0799	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
06/01/2026	66376	ORLA RIO CONCESSIONARIA LTDA.	ADM-0121	PRESTACAO DE SERVICO DE MONTAGEM -ISSQN	41	SERVICO	1,0000	0,0000	1,0000	94000,0000	06/07/2026	0,00	0,00	1551,00	7144,00	0,000000	0,0000	0,0000	0,0000	RJ	VENDEDOR INTERNO - 1	10/05/2021	OUTROS CONSUM. FINAIS PESSOA J
06/01/2026	66372	ERNURE RODRIGUES SOUZA	200476	CADEIRA HAWORTH ZODY TASK (DOW) PRETA, BASE METALLIC SILVER	11	HAWORTH	1,0000	0,0000	1,0000	1162,2300	19/01/2026	0,00	144,00	16,80	77,39	0,000000	0,0000	0,0000	0,0000	SP	VENDEDOR INTERNO - 4	06/01/2026	
06/01/2026	66371	ADP BRASIL LTDA	200421	CADEIRA HAWORTH ALOHA EASY GUEST (SE65RGSM1)	11	HAWORTH	20,0000	0,0000	0,0000	3694,7700	30/04/2026	0,00	9155,64	1068,21	4920,22	0,000000	0,0000	0,0000	0,0000	SP	VENDEDOR INTERNO - 4	28/09/2022	OUTROS CONSUM. FINAIS PESSOA J
